Антипов,Иван,79046734789,emailadress1@mail.ru,AA07AMM
Антонов,Дмитрий,79046734790,emailadress2@mail.ru,AAC792H
Фролов,Николай,79046734791,emailadress3@mail.ru,AAY452D
Медведев,Владимир,79046734782,emailadress4@mail.ru,AB01MFL
Костюшкин,Георгий,79046734783,emailadress5@mail.ru,AB14GMD
Галимов,Харитон,79046734784,emailadress6@mail.ru,AB15UVT
Овечкин,Евгений,79046734785,emailadress7@mail.ru,AB19NWG
Панин,Иван,79046734786,emailadress8@mail.ru,ABV496J
Кучеров,Петр,79046734787,emailadress9@mail.ru,ABW940K
Зарипов,Исмаил,79046734788,emailadress10@mail.ru,ABX857D
Морозов,Лев,79046734795,emailadress11@mail.ru,ABY761G
Зиновьев,Иван,79046734796,emailadress12@mail.ru,AC03BXC
Никулин,Вадим,79046734797,emailadress13@mail.ru,AC04VYH
Задворьев,Иван,79046734796,emailadress14@mail.ru,AC08RRN
Казионов,Игорь,79046734799,emailadress15@mail.ru,AC15VJX
