Антипов,Иван,79046734789,emailadress1,AA07AMM
Антонов,Дмитрий,79046734790,emailadress2,AAC792H
Фролов,Николай,79046734791,emailadress3,AAY452D
Медведев,Владимир,79046734782,emailadress4,AB01MFL
Костюшкин,Георгий,79046734783,emailadress5,AB14GMD
Галимов,Харитон,79046734784,emailadress6,AB15UVT
Овечкин,Евгений,79046734785,emailadress7,AB19NWG
Панин,Иван,79046734786,emailadress8,ABV496J
Кучеров,Петр,79046734787,emailadress9,ABW940K
Зарипов,Исмаил,79046734788,emailadress10,ABX857D
Морозов,Лев,79046734795,emailadress11,ABY761G
Зиновьев,Иван,79046734796,emailadress12,AC03BXC
Никулин,Вадим,79046734797,emailadress13,AC04VYH
Задворьев,Иван,79046734796,emailadress14,AC08RRN
Казионов,Игорь,79046734799,emailadress15,AC15VJX
